,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
101,Georgetown,MY,82.35,few clouds,5.4112,100.3354,Page 63 hostel
103,Hanna,CA,-1.14,overcast clouds,51.6334,-111.9018,Travelodge
104,Isangel,VU,77.47,scattered clouds,-19.55,169.2667,Tanna Lodge
105,Bredasdorp,ZA,66.27,overcast clouds,-34.5322,20.0403,Victoria Hotel
106,Khromtau,KZ,31.75,overcast clouds,50.2503,58.4347,Спорт
107,Katsuura,JP,49.95,clear sky,35.1333,140.3,潮騒の宿
108,Praia Da Vitoria,PT,62.85,light intensity shower rain,38.7333,-27.0667,Salles
111,Portland,US,39.45,overcast clouds,45.5234,-122.6762,the Hoxton
112,Pacific Grove,US,43.43,overcast clouds,36.6177,-121.9166,Pacific Grove Inn
113,Grand Gaube,MU,79.2,moderate rain,-20.0064,57.6608,Coco Villa
114,Norman Wells,CA,-27.36,broken clouds,65.282,-126.8329,Yamouri Inn
115,Birjand,IR,63.07,few clouds,32.8663,59.2211,مهمانسرای جهانگردی بیرجند
116,Saint Anthony,US,34.25,mist,45.0205,-93.218,Delta Hotels by Marriott
117,San Ignacio,BZ,77.14,clear sky,17.1561,-89.0714,Rainforest Haven Inn
118,Dryden,CA,16.09,clear sky,49.7833,-92.7503,Holiday Inn Express
119,Vardo,NO,17.58,overcast clouds,70.3705,31.1107,Meieriet
120,Mitsamiouli,KM,82.36,overcast clouds,-11.3847,43.2844,Hotel le Paradis
122,Tasiilaq,GL,23.16,few clouds,65.6145,-37.6368,Angmagssalik
123,Saldanha,ZA,73.45,light rain,-33.0117,17.9442,Hoedjesbaai
124,Birin,NP,57.69,scattered clouds,26.8865,88.0718,Sun Hotel and Lodge
125,Nuuk,GL,39.81,clear sky,64.1835,-51.7216,Nordbo
126,Cody,US,20.19,overcast clouds,44.5263,-109.0565,Comfort Inn At Buffalo Bill Village Resort
127,Lavrentiya,RU,31.44,snow,65.5833,-171.0,Фортуна
128,Margate,GB,47.89,light rain,51.3813,1.3862,The Reading Rooms
130,Pokaran,IN,79.68,few clouds,26.9167,71.9167,Pokaran Desert Resort
134,Vaitape,PF,80.08,moderate rain,-16.5167,-151.75,Oa Oa Lodge
136,San Jose,US,43.9,broken clouds,37.3394,-121.895,Hotel De Anza
138,Sur,OM,76.32,clear sky,22.5667,59.5289,Sur Hotel
139,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Terra Sur
140,Pangnirtung,CA,30.2,broken clouds,66.1451,-65.7125,Auyuittuq Lodge
142,Cabo San Lucas,MX,71.51,clear sky,22.8909,-109.9124,Comfort Rooms
143,Tabuk,PH,65.53,broken clouds,17.4189,121.4443,Davidson Hotel
144,Port Hawkesbury,CA,32.88,snow,45.6169,-61.3485,Hearthstone Inn Port Hawkesbury
145,Itarema,BR,84.25,overcast clouds,-2.9248,-39.9167,Pousada Oásis
147,Ornskoldsvik,SE,25.75,clear sky,63.2909,18.7153,Hotell Focus
148,Andilamena,MG,67.6,overcast clouds,-17.0167,48.5833,Hotely Magic
149,Husavik,IS,22.51,overcast clouds,66.0449,-17.3389,Fosshótel Húsavík
150,Nakuru,KE,73.72,broken clouds,-0.2833,36.0667,Midland Hotel
151,Lagoa,PT,60.75,overcast clouds,39.05,-27.9833,Casa da Madrinha
152,Porto Novo,BJ,89.42,overcast clouds,6.4965,2.6036,Hôtel 6500 CFA
153,Hanstholm,DK,35.24,overcast clouds,57.1167,8.6167,Hanstholm
154,Namibe,AO,75.25,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
156,Skjervoy,NO,14.0,overcast clouds,70.0311,20.9714,Hotel Maritim Skjervøy
157,Kendal,GB,43.59,overcast clouds,54.3268,-2.7476,Highgate Hotel
159,Zaysan,KZ,33.53,overcast clouds,47.4667,84.8667,Рахат қонақүй
160,Bacolod,PH,76.05,clear sky,10.6667,122.95,Northwest Inn
162,Gazojak,TM,65.61,broken clouds,41.1875,61.4036,Жайхун
164,Tuktoyaktuk,CA,-29.2,few clouds,69.4541,-133.0374,Hunter's B&B
165,Guerrero Negro,MX,58.55,overcast clouds,27.9769,-114.0611,Plaza sal paraiso
166,Honningsvag,NO,19.15,scattered clouds,70.9821,25.9704,Scandic Honningsvåg
168,Castro,BR,74.59,few clouds,-24.7911,-50.0119,Hotel Central Palace
170,Celestun,MX,83.05,clear sky,20.8667,-90.4,Hotel Flamingo Playa
171,Hamilton,US,63.0,broken clouds,39.1834,-84.5333,North Vista Manor
172,College,US,9.07,broken clouds,64.8569,-147.8028,BEST WESTERN PLUS Pioneer Park Inn
174,Kavieng,PG,81.45,overcast clouds,-2.5744,150.7967,Kavieng Hotel
175,Lagunas,PE,74.12,light rain,-5.2269,-75.6753,Hospedaje Eco
177,Machico,PT,70.0,moderate rain,32.7,-16.7667,Residence Inn
179,Blackfoot,US,25.61,overcast clouds,43.1905,-112.345,Best Western Blackfoot Inn
181,Thompson,CA,-14.64,few clouds,55.7435,-97.8558,Thompson Inn
182,Chato,TZ,74.1,scattered clouds,-2.6378,31.7669,RA Crest Hotel
183,Rio Grande,BR,82.51,overcast clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
184,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Horisun
185,Khatanga,RU,-17.34,overcast clouds,71.9667,102.5,Хатанга
186,Wenling,CN,52.81,clear sky,28.3669,121.36,Koro
187,Iqaluit,CA,24.53,mist,63.7506,-68.5145,Frobisher Inn
188,Artigas,UY,88.86,clear sky,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
189,Flin Flon,CA,-11.36,few clouds,54.7682,-101.865,Copperbelt Hotel
190,Ponta Do Sol,PT,70.0,light rain,32.6667,-17.1,Estalagem Ponta do Sol
191,Kargopol,RU,16.95,overcast clouds,61.5071,38.9456,Каргополь
192,Pisco,PE,79.02,clear sky,-13.7,-76.2167,La Portada
194,Pochutla,MX,85.82,clear sky,15.7432,-96.4661,Posada San Jose
195,Solnechnyy,RU,19.26,overcast clouds,50.7214,136.6319,Заря
197,Campo Maior,BR,93.79,scattered clouds,-4.8278,-42.1686,Hotel Pousada do Lago
198,Naze,JP,49.12,clear sky,28.3667,129.4833,ビジネス旅館畠山
199,Faanui,PF,80.19,moderate rain,-16.4833,-151.75,Oa Oa Lodge
202,Vilani,LV,23.45,overcast clouds,56.5525,26.9245,Lāču leja
204,Sorkjosen,NO,14.0,overcast clouds,69.8,20.9333,Reisafjord hotel
205,Udachnyy,RU,-28.97,overcast clouds,66.4167,112.4,Вилюй
206,Puerto Leguizamo,CO,84.7,overcast clouds,-0.1934,-74.7819,Hotel Girasoles
208,Miranda,CO,78.93,overcast clouds,3.2499,-76.2281,Encantos
210,Lorengau,PG,80.04,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
213,Kalaiya,NP,70.48,clear sky,27.0327,85.0022,Dip Jyoti Hotel : Best Hotel of Kalaiya
214,Doha,QA,82.71,clear sky,25.2867,51.5333,Al MIrqab
215,Constitucion,CL,67.57,scattered clouds,-35.3333,-72.4167,Hostal Alameda
216,Souillac,MU,79.18,light rain,-20.5167,57.5167,Hotel SkylineInn
217,Nabire,ID,74.75,overcast clouds,-3.3667,135.4833,Hotel Anggrek
219,Macrohon,PH,73.78,scattered clouds,10.0797,124.9431,Amparaiso Beach Resort
223,La Ronge,CA,-19.95,scattered clouds,55.1001,-105.2842,La Ronge Hotel and Suites
224,Brownwood,US,64.4,clear sky,31.7093,-98.9912,Hampton Inn Brownwood
228,Avallon,FR,39.97,overcast clouds,47.4833,3.9,Le Pub Vauban
230,Ajaccio,FR,53.65,scattered clouds,42.0,8.9167,Hôtel Sole e Monte
233,Matoury,GF,85.96,broken clouds,4.8483,-52.3317,La Marmotte
235,Nyurba,RU,-7.58,overcast clouds,63.2842,118.3319,Марина
236,New Norfolk,AU,60.3,overcast clouds,-42.7826,147.0587,Woodbridge on the Derwent
237,Leh,IN,7.36,broken clouds,34.1667,77.5833,Kang Lha Chen
240,Rawson,AR,85.55,few clouds,-43.3002,-65.1023,Hotel Deportivo
241,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Ocean Centre Hotel
244,Sechelt,CA,38.8,overcast clouds,49.4664,-123.7694,The Driftwood Inn
245,Emerald,AU,72.34,scattered clouds,-23.5333,148.1667,Emerald Central Hotel
247,Sorong,ID,80.33,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
