City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Rio Grande,BR,-32.035,-52.0986,82.51,76,100,13.33,overcast clouds
184,Quatre Cocos,MU,-20.2078,57.7625,78.91,88,100,9.33,light rain
185,Khatanga,RU,71.9667,102.5,-17.34,100,100,4.5,overcast clouds
186,Wenling,CN,28.3669,121.36,52.81,76,1,5.64,clear sky
187,Iqaluit,CA,63.7506,-68.5145,24.53,100,100,2.3,mist
188,Artigas,UY,-30.4,-56.4667,88.86,21,0,12.21,clear sky
189,Flin Flon,CA,54.7682,-101.865,-11.36,70,20,8.05,few clouds
190,Ponta Do Sol,PT,32.6667,-17.1,70.0,94,88,7.4,light rain
191,Kargopol,RU,61.5071,38.9456,16.95,97,100,4.79,overcast clouds
192,Pisco,PE,-13.7,-76.2167,79.02,73,0,9.22,clear sky
193,Saint-Augustin,CA,51.226,-58.6502,26.53,94,99,3.62,light snow
194,Pochutla,MX,15.7432,-96.4661,85.82,43,1,4.12,clear sky
195,Solnechnyy,RU,50.7214,136.6319,19.26,95,98,4.05,overcast clouds
196,Thinadhoo,MV,0.5333,72.9333,82.26,68,3,4.21,clear sky
197,Campo Maior,BR,-4.8278,-42.1686,93.79,40,48,2.71,scattered clouds
198,Naze,JP,28.3667,129.4833,49.12,58,0,5.66,clear sky
199,Faanui,PF,-16.4833,-151.75,80.19,76,100,10.98,moderate rain
200,Hami,CN,42.8,93.45,49.41,31,4,2.84,clear sky
201,Labis,MY,2.385,103.021,73.4,89,13,4.18,few clouds
202,Vilani,LV,56.5525,26.9245,23.45,87,97,6.33,overcast clouds
203,Avera,US,33.194,-82.5271,69.55,68,21,5.66,few clouds
204,Sorkjosen,NO,69.8,20.9333,14.0,67,92,17.27,overcast clouds
205,Udachnyy,RU,66.4167,112.4,-28.97,100,97,3.83,overcast clouds
206,Puerto Leguizamo,CO,-0.1934,-74.7819,84.7,63,99,2.73,overcast clouds
207,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,29.14,64,13,6.46,few clouds
208,Miranda,CO,3.2499,-76.2281,78.93,67,90,4.63,overcast clouds
